Architecture    Offer                   Publisher    Sku                              Urn                                                                         Version
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202502280                     24.04.202502280
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202504150                     24.04.202504150
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202504250                     24.04.202504250
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202505020                     24.04.202505020
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202505200                     24.04.202505200
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202506070                     24.04.202506070
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202506300                     24.04.202506300
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202507080                     24.04.202507080
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202507240                     24.04.202507240
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202507300                     24.04.202507300
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202508200                     24.04.202508200
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202508220                     24.04.202508220
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202509090                     24.04.202509090
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202509300                     24.04.202509300
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202510130                     24.04.202510130
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202510210                     24.04.202510210
